instance_name	LB	best_sol	best_algo	FF	FFD-Degree	BFD-Avg	WFD-AvgExpo	RefineWFD-Avg-2	SpreadWFD-Avg	FF_time	FFD-Degree_time	BFD-Avg_time	WFD-AvgExpo_time	RefineWFD-Avg-2_time	SpreadWFD-Avg_time
large_scale_10000_arbitrary_d005_0	4235	4417	BFD-Avg	4440	4439	4417	4417	4440	4360	5.0	4.0	6.0	145.0	29.0	140.0
large_scale_10000_arbitrary_d005_1	4476	4666	WFD-AvgExpo	4689	4696	4669	4666	4689	4613	5.0	5.0	6.0	161.0	30.0	189.0
large_scale_10000_arbitrary_d005_2	4332	4541	WFD-AvgExpo	4580	4573	4556	4541	4493	4459	5.0	5.0	6.0	161.0	45.0	132.0
large_scale_10000_arbitrary_d005_3	4163	4418	WFD-AvgExpo	4445	4456	4444	4418	4361	4328	7.0	6.0	8.0	148.0	41.0	124.0
large_scale_10000_arbitrary_d005_4	4202	4407	WFD-AvgExpo	4426	4433	4416	4407	4426	4351	5.0	5.0	6.0	149.0	29.0	123.0
large_scale_10000_arbitrary_d005_5	4647	4855	WFD-AvgExpo	4901	4897	4865	4855	4808	4782	6.0	5.0	6.0	167.0	47.0	190.0
large_scale_10000_arbitrary_d005_6	4258	4414	WFD-AvgExpo	4454	4454	4420	4414	4454	4375	5.0	5.0	5.0	152.0	29.0	148.0
large_scale_10000_arbitrary_d005_7	4642	4848	WFD-AvgExpo	4881	4876	4856	4848	4881	4794	5.0	5.0	6.0	168.0	32.0	188.0
large_scale_10000_arbitrary_d005_8	4232	4454	WFD-AvgExpo	4463	4458	4456	4454	4378	4375	5.0	5.0	6.0	150.0	42.0	169.0
large_scale_10000_arbitrary_d005_9	4336	4530	WFD-AvgExpo	4568	4565	4537	4530	4481	4458	5.0	5.0	6.0	154.0	43.0	175.0
large_scale_10000_normal_d005_0	4235	4415	BFD-Avg	4435	4443	4415	4417	4435	4362	5.0	5.0	6.0	158.0	29.0	129.0
large_scale_10000_normal_d005_1	4476	4667	WFD-AvgExpo	4689	4690	4668	4667	4689	4614	5.0	5.0	6.0	175.0	31.0	139.0
large_scale_10000_normal_d005_2	4332	4544	WFD-AvgExpo	4580	4572	4552	4544	4493	4459	5.0	6.0	6.0	175.0	46.0	134.0
large_scale_10000_normal_d005_3	4163	4420	WFD-AvgExpo	4445	4442	4446	4420	4361	4328	8.0	6.0	8.0	167.0	42.0	126.0
large_scale_10000_normal_d005_4	4202	4408	WFD-AvgExpo	4429	4426	4416	4408	4429	4350	5.0	5.0	6.0	166.0	29.0	124.0
large_scale_10000_normal_d005_5	4647	4857	WFD-AvgExpo	4908	4902	4865	4857	4815	4784	6.0	6.0	7.0	173.0	49.0	205.0
large_scale_10000_normal_d005_6	4258	4415	WFD-AvgExpo	4451	4457	4420	4415	4451	4376	5.0	5.0	6.0	166.0	29.0	157.0
large_scale_10000_normal_d005_7	4642	4845	WFD-AvgExpo	4880	4889	4855	4845	4880	4816	5.0	5.0	7.0	186.0	32.0	197.0
large_scale_10000_normal_d005_8	4232	4453	WFD-AvgExpo	4465	4467	4456	4453	4380	4379	5.0	5.0	6.0	163.0	43.0	177.0
large_scale_10000_normal_d005_9	4336	4539	BFD-Avg	4568	4547	4539	4539	4481	4459	5.0	5.0	6.0	169.0	44.0	187.0
large_scale_10000_threshold_d005_0	4235	4416	BFD-Avg	4438	4438	4416	4417	4438	4384	5.0	5.0	5.0	154.0	27.0	102.0
large_scale_10000_threshold_d005_1	4476	4667	BFD-Avg	4687	4689	4667	4667	4687	4613	5.0	5.0	6.0	159.0	27.0	123.0
large_scale_10000_threshold_d005_2	4332	4543	WFD-AvgExpo	4581	4577	4552	4543	4494	4462	5.0	5.0	6.0	170.0	38.0	114.0
large_scale_10000_threshold_d005_3	4163	4422	WFD-AvgExpo	4446	4439	4444	4422	4362	4324	7.0	6.0	7.0	163.0	37.0	119.0
large_scale_10000_threshold_d005_4	4202	4406	WFD-AvgExpo	4428	4437	4411	4406	4428	4347	5.0	5.0	5.0	151.0	26.0	115.0
large_scale_10000_threshold_d005_5	4647	4856	WFD-AvgExpo	4903	4911	4866	4856	4810	4785	6.0	6.0	6.0	177.0	42.0	168.0
large_scale_10000_threshold_d005_6	4258	4411	WFD-AvgExpo	4451	4456	4422	4411	4451	4374	5.0	5.0	5.0	158.0	26.0	157.0
large_scale_10000_threshold_d005_7	4642	4844	WFD-AvgExpo	4882	4882	4857	4844	4882	4794	5.0	5.0	6.0	182.0	28.0	169.0
large_scale_10000_threshold_d005_8	4232	4453	WFD-AvgExpo	4459	4464	4457	4453	4459	4384	5.0	5.0	5.0	155.0	25.0	147.0
large_scale_10000_threshold_d005_9	4336	4532	WFD-AvgExpo	4570	4565	4537	4532	4483	4461	5.0	5.0	6.0	160.0	39.0	152.0
large_scale_50000_arbitrary_d005_0	21097	22328	WFD-AvgExpo	22407	22431	22358	22328	21985	21867	252.0	259.0	342.0	5063.0	1399.0	5623.0
large_scale_50000_arbitrary_d005_1	21543	22730	WFD-AvgExpo	22817	22813	22734	22730	22386	22316	207.0	207.0	258.0	5392.0	1935.0	5822.0
large_scale_50000_arbitrary_d005_2	22057	23229	WFD-AvgExpo	23291	23312	23237	23229	22849	22820	273.0	270.0	351.0	5456.0	2037.0	5129.0
large_scale_50000_arbitrary_d005_3	21462	22651	WFD-AvgExpo	22732	22749	22667	22651	22302	22287	247.0	247.0	315.0	5266.0	1735.0	8439.0
large_scale_50000_arbitrary_d005_4	21661	22851	WFD-AvgExpo	22936	22980	22900	22851	22502	22419	252.0	256.0	336.0	5452.0	2148.0	9306.0
large_scale_50000_arbitrary_d005_5	20808	22015	BFD-Avg	22069	22063	22015	22016	21652	21592	247.0	244.0	307.0	4927.0	1951.0	5848.0
large_scale_50000_arbitrary_d005_6	21589	22892	BFD-Avg	22980	22957	22892	22904	22548	22503	283.0	282.0	361.0	5364.0	2185.0	8862.0
large_scale_50000_arbitrary_d005_7	21511	22620	WFD-AvgExpo	22674	22674	22638	22620	22674	22255	271.0	270.0	250.0	5631.0	1367.0	6652.0
large_scale_50000_arbitrary_d005_8	21697	22981	WFD-AvgExpo	23044	23047	23000	22981	22610	22553	294.0	293.0	383.0	5693.0	2185.0	6544.0
large_scale_50000_arbitrary_d005_9	21465	22611	WFD-AvgExpo	22682	22694	22651	22611	22252	22219	277.0	269.0	366.0	5681.0	2109.0	6658.0
large_scale_50000_normal_d005_0	21097	22333	WFD-AvgExpo	22407	22406	22357	22333	21985	21866	238.0	241.0	320.0	4465.0	2272.0	5550.0
large_scale_50000_normal_d005_1	21543	22730	BFD-Avg	22812	22808	22730	22734	22381	22310	252.0	259.0	353.0	4974.0	2348.0	5278.0
large_scale_50000_normal_d005_2	22057	23232	WFD-AvgExpo	23292	23306	23248	23232	22850	22821	241.0	242.0	316.0	3994.0	2529.0	5714.0
large_scale_50000_normal_d005_3	21462	22655	WFD-AvgExpo	22736	22705	22667	22655	22306	22282	119.0	119.0	146.0	3256.0	2173.0	7451.0
large_scale_50000_normal_d005_4	21661	22853	WFD-AvgExpo	22934	22977	22901	22853	22500	22415	110.0	109.0	138.0	3246.0	2466.0	6199.0
large_scale_50000_normal_d005_5	20808	22009	WFD-AvgExpo	22069	22076	22016	22009	21652	21602	108.0	104.0	128.0	2806.0	2239.0	8400.0
large_scale_50000_normal_d005_6	21589	22896	BFD-Avg	22979	22968	22896	22910	22547	22503	110.0	111.0	133.0	2885.0	2284.0	8071.0
large_scale_50000_normal_d005_7	21511	22627	WFD-AvgExpo	22681	22680	22637	22627	22681	22258	106.0	106.0	134.0	2619.0	1441.0	4568.0
large_scale_50000_normal_d005_8	21697	22985	WFD-AvgExpo	23043	23050	22997	22985	22609	22557	113.0	111.0	138.0	2929.0	1711.0	8012.0
large_scale_50000_normal_d005_9	21465	22613	WFD-AvgExpo	22681	22684	22650	22613	22251	22217	108.0	111.0	134.0	2860.0	1713.0	6803.0
large_scale_50000_threshold_d005_0	21097	22332	WFD-AvgExpo	22407	22414	22359	22332	21985	21870	142.0	151.0	176.0	3685.0	1524.0	4666.0
large_scale_50000_threshold_d005_1	21543	22729	WFD-AvgExpo	22817	22820	22735	22729	22386	22315	146.0	144.0	187.0	3792.0	1338.0	5836.0
large_scale_50000_threshold_d005_2	22057	23230	WFD-AvgExpo	23293	23302	23238	23230	22851	22821	146.0	149.0	177.0	3805.0	1530.0	5246.0
large_scale_50000_threshold_d005_3	21462	22656	WFD-AvgExpo	22735	22747	22669	22656	22305	22284	142.0	148.0	170.0	3507.0	1473.0	5396.0
large_scale_50000_threshold_d005_4	21661	22848	WFD-AvgExpo	22936	22953	22900	22848	22502	22422	138.0	135.0	169.0	3326.0	1586.0	5615.0
large_scale_50000_threshold_d005_5	20808	22013	WFD-AvgExpo	22071	22068	22020	22013	21654	21596	127.0	129.0	147.0	3125.0	1464.0	5676.0
large_scale_50000_threshold_d005_6	21589	22899	BFD-Avg	22978	22978	22899	22904	22546	22500	128.0	130.0	155.0	3281.0	1599.0	6459.0
large_scale_50000_threshold_d005_7	21511	22626	WFD-AvgExpo	22675	22678	22636	22626	22675	22260	124.0	123.0	159.0	3220.0	1052.0	6356.0
large_scale_50000_threshold_d005_8	21697	22984	WFD-AvgExpo	23041	23023	22993	22984	22607	22557	133.0	130.0	163.0	3287.0	1510.0	5750.0
large_scale_50000_threshold_d005_9	21465	22612	WFD-AvgExpo	22684	22682	22651	22612	22254	22211	127.0	125.0	154.0	3231.0	1572.0	6813.0
large_scale_100000_arbitrary_d005_0	42968	45580	FF	45580	45587	45651	45594	44720	44591	810.0	771.0	1035.0	16574.0	10001.0	34238.0
large_scale_100000_arbitrary_d005_1	42548	44831	WFD-AvgExpo	44835	44849	44838	44831	44835	44056	720.0	710.0	972.0	15697.0	6366.0	35522.0
large_scale_100000_arbitrary_d005_2	43285	45870	WFD-AvgExpo	45936	45933	45913	45870	45070	44985	748.0	763.0	952.0	16462.0	9587.0	36104.0
large_scale_100000_arbitrary_d005_3	43913	46516	WFD-AvgExpo	46676	46680	46546	46516	45797	45603	774.0	762.0	972.0	16422.0	10187.0	34204.0
large_scale_100000_arbitrary_d005_4	43548	46097	WFD-AvgExpo	46153	46135	46146	46097	45282	45164	775.0	775.0	987.0	15996.0	11010.0	36082.0
large_scale_100000_arbitrary_d005_5	43349	45836	WFD-AvgExpo	46016	46002	45879	45836	45149	44974	825.0	823.0	1063.0	17566.0	10289.0	33990.0
large_scale_100000_arbitrary_d005_6	43615	46191	WFD-AvgExpo	46243	46245	46192	46191	45370	45270	826.0	813.0	1064.0	17294.0	9338.0	36563.0
large_scale_100000_arbitrary_d005_7	42453	45005	WFD-AvgExpo	45067	45071	45041	45005	44217	44088	870.0	885.0	1187.0	16281.0	8351.0	34922.0
large_scale_100000_arbitrary_d005_8	43890	46390	WFD-AvgExpo	46540	46519	46431	46390	45662	45542	1021.0	1030.0	1396.0	19933.0	7890.0	57700.0
large_scale_100000_arbitrary_d005_9	43419	45865	WFD-AvgExpo	46363	46394	46005	45865	45494	45035	951.0	960.0	1279.0	22701.0	7869.0	50101.0
large_scale_100000_normal_d005_0	42968	45584	FF	45584	45587	45647	45593	44724	44604	832.0	805.0	1113.0	18001.0	12107.0	56665.0
large_scale_100000_normal_d005_1	42548	44831	WFD-AvgExpo	44838	44877	44844	44831	44838	44055	755.0	705.0	937.0	17113.0	7293.0	41672.0
large_scale_100000_normal_d005_2	43285	45871	WFD-AvgExpo	45931	45928	45906	45871	45065	44983	743.0	725.0	1008.0	17492.0	12403.0	42090.0
large_scale_100000_normal_d005_3	43913	46501	WFD-AvgExpo	46676	46657	46547	46501	45797	45602	773.0	790.0	1042.0	17077.0	13420.0	44348.0
large_scale_100000_normal_d005_4	43548	46098	WFD-AvgExpo	46143	46159	46147	46098	45272	45171	677.0	659.0	888.0	17227.0	13331.0	45273.0
large_scale_100000_normal_d005_5	43349	45834	WFD-AvgExpo	46020	45997	45873	45834	45153	44972	815.0	804.0	1059.0	17942.0	10142.0	30020.0
large_scale_100000_normal_d005_6	43615	46189	WFD-AvgExpo	46255	46287	46200	46189	45382	45261	822.0	778.0	1076.0	17607.0	9929.0	32506.0
large_scale_100000_normal_d005_7	42453	44997	WFD-AvgExpo	45062	45095	45040	44997	44212	44091	860.0	869.0	1180.0	16689.0	9725.0	44798.0
large_scale_100000_normal_d005_8	43890	46392	WFD-AvgExpo	46538	46557	46432	46392	45660	45549	834.0	833.0	1078.0	21722.0	9237.0	64387.0
large_scale_100000_normal_d005_9	43419	45855	WFD-AvgExpo	46357	45986	45991	45855	45488	45035	919.0	932.0	1290.0	22869.0	8040.0	32616.0
large_scale_100000_threshold_d005_0	42968	45583	FF	45583	45593	45654	45593	44723	44580	487.0	545.0	594.0	14472.0	9029.0	56022.0
large_scale_100000_threshold_d005_1	42548	44820	FFD-Degree	44828	44820	44841	44842	44828	44042	473.0	485.0	577.0	13511.0	5749.0	36399.0
large_scale_100000_threshold_d005_2	43285	45873	WFD-AvgExpo	45926	45956	45911	45873	45060	44968	630.0	673.0	808.0	15853.0	7773.0	30001.0
large_scale_100000_threshold_d005_3	43913	46506	WFD-AvgExpo	46669	46605	46544	46506	45790	45593	669.0	682.0	842.0	13907.0	6735.0	30764.0
large_scale_100000_threshold_d005_4	43548	46098	WFD-AvgExpo	46148	46149	46153	46098	45277	45173	423.0	459.0	520.0	15168.0	10418.0	36118.0
large_scale_100000_threshold_d005_5	43349	45824	WFD-AvgExpo	46016	46013	45877	45824	45149	44972	603.0	643.0	727.0	14926.0	7613.0	34331.0
large_scale_100000_threshold_d005_6	43615	46191	BFD-Avg	46254	46261	46191	46198	45381	45267	551.0	594.0	666.0	14881.0	6465.0	26938.0
large_scale_100000_threshold_d005_7	42453	44998	WFD-AvgExpo	45065	45073	45044	44998	44215	44089	746.0	764.0	975.0	14920.0	5235.0	36566.0
large_scale_100000_threshold_d005_8	43890	46387	WFD-AvgExpo	46548	46536	46428	46387	45670	45553	770.0	794.0	960.0	14791.0	5657.0	40350.0
large_scale_100000_threshold_d005_9	43419	45863	WFD-AvgExpo	46357	46365	45999	45863	45488	45047	744.0	777.0	990.0	15649.0	5433.0	41469.0
